total pixels, size of ascii file (bytes), size of compressed binary file (bytes), size of decompressed ascii file (bytes), size of SVD.txt (bytes), rank, size of compressed binary SVD file (bytes), size of decompressed svd file ascii (bytes) 
2500, 8980, 2505, 8980, 95000, 91, 20207, 9030
2500, 8980, 2505, 8980, 95000, 92, 20207, 9030
2500, 8980, 2505, 8980, 95000, 93, 20207, 9030
2500, 8980, 2505, 8980, 95000, 94, 20207, 9030
2500, 8980, 2505, 8980, 95000, 95, 20207, 9030
2500, 8980, 2505, 8980, 95000, 96, 20207, 9030
2500, 8980, 2505, 8980, 95000, 97, 20207, 9030
2500, 8980, 2505, 8980, 95000, 98, 20207, 9030
2500, 8980, 2505, 8980, 95000, 99, 20207, 9030
10000, 35802, 10005, 35802, 380000, 1, 811, 40141
10000, 35802, 10005, 35802, 380000, 2, 1615, 37537
10000, 35802, 10005, 35802, 380000, 3, 2419, 36248
10000, 35802, 10005, 35802, 380000, 4, 3223, 36500
10000, 35802, 10005, 35802, 380000, 5, 4027, 36918
10000, 35802, 10005, 35802, 380000, 6, 4831, 36550
10000, 35802, 10005, 35802, 380000, 7, 5635, 35825
10000, 35802, 10005, 35802, 380000, 8, 6439, 36062
10000, 35802, 10005, 35802, 380000, 9, 7243, 35987
10000, 35802, 10005, 35802, 380000, 10, 8047, 36149
10000, 35802, 10005, 35802, 380000, 11, 8851, 36279
10000, 35802, 10005, 35802, 380000, 12, 9655, 36112
10000, 35802, 10005, 35802, 380000, 13, 10459, 35935
10000, 35802, 10005, 35802, 380000, 14, 11263, 36117
10000, 35802, 10005, 35802, 380000, 15, 12067, 36258
10000, 35802, 10005, 35802, 380000, 16, 12871, 36194
10000, 35802, 10005, 35802, 380000, 17, 13675, 36058
10000, 35802, 10005, 35802, 380000, 18, 14479, 36088
10000, 35802, 10005, 35802, 380000, 19, 15283, 36071
10000, 35802, 10005, 35802, 380000, 20, 16087, 36227
10000, 35802, 10005, 35802, 380000, 21, 16891, 36275
10000, 35802, 10005, 35802, 380000, 22, 17695, 36264
10000, 35802, 10005, 35802, 380000, 23, 18499, 36233
10000, 35802, 10005, 35802, 380000, 24, 19303, 36252
10000, 35802, 10005, 35802, 380000, 25, 20107, 36272
10000, 35802, 10005, 35802, 380000, 26, 20911, 36306
10000, 35802, 10005, 35802, 380000, 27, 21715, 36298
10000, 35802, 10005, 35802, 380000, 28, 22519, 36257
10000, 35802, 10005, 35802, 380000, 29, 23323, 36228
10000, 35802, 10005, 35802, 380000, 30, 24127, 36233
10000, 35802, 10005, 35802, 380000, 31, 24931, 36235
10000, 35802, 10005, 35802, 380000, 32, 25735, 36205
10000, 35802, 10005, 35802, 380000, 33, 26539, 36203
10000, 35802, 10005, 35802, 380000, 34, 27343, 36166
10000, 35802, 10005, 35802, 380000, 35, 28147, 36148
10000, 35802, 10005, 35802, 380000, 36, 28951, 36124
10000, 35802, 10005, 35802, 380000, 37, 29755, 36084
10000, 35802, 10005, 35802, 380000, 38, 30559, 36046
10000, 35802, 10005, 35802, 380000, 39, 31363, 36034
10000, 35802, 10005, 35802, 380000, 40, 32167, 36013
10000, 35802, 10005, 35802, 380000, 41, 32971, 35993
10000, 35802, 10005, 35802, 380000, 42, 33775, 35969
10000, 35802, 10005, 35802, 380000, 43, 34579, 35953
10000, 35802, 10005, 35802, 380000, 44, 35383, 35935
10000, 35802, 10005, 35802, 380000, 45, 36187, 35921
10000, 35802, 10005, 35802, 380000, 46, 36991, 35907
10000, 35802, 10005, 35802, 380000, 47, 37795, 35902
10000, 35802, 10005, 35802, 380000, 48, 38599, 35902
10000, 35802, 10005, 35802, 380000, 49, 39403, 35902
10000, 35802, 10005, 35802, 380000, 50, 40207, 35902
10000, 35802, 10005, 35802, 380000, 51, 41011, 35902
10000, 35802, 10005, 35802, 380000, 52, 41815, 35902
10000, 35802, 10005, 35802, 380000, 53, 42619, 35902
10000, 35802, 10005, 35802, 380000, 54, 43423, 35902
10000, 35802, 10005, 35802, 380000, 55, 44227, 35902
10000, 35802, 10005, 35802, 380000, 56, 45031, 35902
10000, 35802, 10005, 35802, 380000, 57, 45835, 35902
10000, 35802, 10005, 35802, 380000, 58, 46639, 35902
10000, 35802, 10005, 35802, 380000, 59, 47443, 35902
10000, 35802, 10005, 35802, 380000, 60, 48247, 35902
10000, 35802, 10005, 35802, 380000, 61, 49051, 35902
10000, 35802, 10005, 35802, 380000, 62, 49855, 35902
10000, 35802, 10005, 35802, 380000, 63, 50659, 35902
10000, 35802, 10005, 35802, 380000, 64, 51463, 35902
10000, 35802, 10005, 35802, 380000, 65, 52267, 35902
10000, 35802, 10005, 35802, 380000, 66, 53071, 35902
10000, 35802, 10005, 35802, 380000, 67, 53875, 35902
